time,magnitude,e_magnitude,band,system,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days),detected,limiting_magnitude
59580.33020260599,26.874158425758324,,lsstz,AB,0.0,,2.5716062748374738e-17,1.8234667255477537e-16,-1.6697973940099473,0.0,23.0
59580.85441835487,,,lsstz,AB,0.0,,-1.6179251445583976e-16,1.8234667255477537e-16,-1.1455816451270948,0.0,23.0
59581.6563151096,,,lsstz,AB,0.0,,-3.2576123946158046e-16,1.8234667255477537e-16,-0.3436848904020735,0.0,23.0
59582.49931011548,27.367890695637392,,lsstu,AB,0.0,,4.316526430325971e-17,7.644e-17,0.4993101154832402,0.0,25.0
59582.568375224655,,,lsstg,AB,0.0,,-2.50983516516754e-16,1.2148e-16,0.5683752246550284,0.0,25.0
59582.68662039723,28.327308051460314,,lsstz,AB,0.0,,6.74442029389077e-18,1.8234667255477537e-16,0.6866203972313087,0.0,23.0
59582.70896329303,26.18254363768097,,lsstz,AB,0.0,,4.862396745122147e-17,1.8234667255477537e-16,0.7089632930292282,0.0,23.0
59582.849193030575,,,lsstz,AB,0.0,,-1.3125326521096605e-16,1.8234667255477537e-16,0.8491930305754067,0.0,23.0
59582.95012408594,,,lssti,AB,0.0,,-5.93713219232777e-17,2.863284429251109e-16,0.9501240859390236,0.0,23.0
59583.24940966334,,,lsstu,AB,0.0,,-2.9241845714127356e-17,7.644e-17,1.249409663338156,0.0,25.0
59583.68175158537,26.98709859362847,,lsstu,AB,0.0,,6.129869731924583e-17,7.644e-17,1.6817515853690566,0.0,25.0
59584.906895158216,27.93963401872005,,lsstg,AB,0.0,,4.05154978738152e-17,1.2148e-16,2.906895158215775,0.0,25.0
59585.32157965765,25.76806382492064,,lsstr,AB,0.0,,1.6921866849346957e-16,1.0881876659437988e-16,3.321579657647817,0.0,24.5
59585.36178873612,,,lsstu,AB,0.0,,-1.3788642426641114e-16,7.644e-17,3.3617887361178873,0.0,25.0
59585.4294313671,,,lsstz,AB,0.0,,-5.725501045800881e-18,1.8234667255477537e-16,3.4294313670980046,0.0,23.0
59585.827558781515,,,lsstg,AB,0.0,,-2.9288110392846364e-16,1.2148e-16,3.8275587815151084,0.0,25.0
59586.05656116686,,,lssti,AB,0.0,,-2.3027682782412e-16,2.863284429251109e-16,4.056561166857136,0.0,23.0
59586.854989190404,,,lsstz,AB,0.0,,-9.216136436429141e-18,1.8234667255477537e-16,4.854989190404012,0.0,23.0
59587.3266035979,,,lsstz,AB,0.0,,-9.589896484225505e-18,1.8234667255477537e-16,5.3266035979031585,0.0,23.0
59587.33293858173,,,lsstg,AB,0.0,,-2.51189097192348e-16,1.2148e-16,5.332938581726921,0.0,25.0
59587.73345843086,,,lsstu,AB,0.0,,-1.4465029597645914e-16,7.644e-17,5.733458430862811,0.0,25.0
59588.39110586382,,,lssti,AB,0.0,,-2.448365328213416e-16,2.863284429251109e-16,6.391105863818666,0.0,23.0
59588.81164866812,,,lsstg,AB,0.0,,-1.0778350549077172e-17,1.2148e-16,6.811648668117414,0.0,25.0
59589.44736127105,26.373729834025305,,lsstu,AB,0.0,,1.0784468570569226e-16,7.644e-17,7.4473612710498855,0.0,25.0
59589.54695340533,,,lsstz,AB,0.0,,-1.5238488912519845e-16,1.8234667255477537e-16,7.546953405333625,0.0,23.0
59590.26092065685,,,lsstr,AB,0.0,,-2.0327869049359462e-16,1.0881876659437988e-16,8.26092065685225,0.0,24.5
59590.42214124153,,,lsstu,AB,0.0,,-2.025373530460414e-18,7.644e-17,8.422141241528152,0.0,25.0
59591.206574208045,24.648112748362262,,lssti,AB,0.0,,3.137540904965072e-16,2.863284429251109e-16,9.206574208044913,0.0,23.0
59591.3237485638,26.783460472968414,,lsstg,AB,0.0,,1.1751426764883535e-16,1.2148e-16,9.323748563801928,0.0,25.0
59592.16720250609,27.38121914446378,,lsstu,AB,0.0,,4.2638608673992696e-17,7.644e-17,10.167202506090689,0.0,25.0
59592.85008949231,27.47308030632134,,lsstu,AB,0.0,,3.9179470307404414e-17,7.644e-17,10.85008949231269,0.0,25.0
59592.90918804505,26.0669826029549,,lsstu,AB,0.0,,1.4305322122055709e-16,7.644e-17,10.909188045050541,0.0,25.0
59592.9378624114,,,lsstg,AB,0.0,,-1.4745134582700578e-17,1.2148e-16,10.93786241140333,0.0,25.0
59593.44419336563,,,lssti,AB,0.0,,-2.9582115483952866e-16,2.863284429251109e-16,11.444193365627143,0.0,23.0
59593.94702963656,26.129416675410752,,lsstg,AB,0.0,,2.1463874355743977e-16,1.2148e-16,11.947029636561638,0.0,25.0
59595.51612930122,27.203056974868925,,lsstr,AB,0.0,,4.512851194784581e-17,1.0881876659437988e-16,13.516129301220644,0.0,24.5
59595.56677099038,26.969689777596003,,lsstg,AB,0.0,,9.899172143065634e-17,1.2148e-16,13.566770990379155,0.0,25.0
59595.96904296172,,,lssti,AB,0.0,,-5.503285459253209e-16,2.863284429251109e-16,13.969042961718515,0.0,23.0
59596.74112996853,27.774520954049056,,lsstg,AB,0.0,,4.7170057534146707e-17,1.2148e-16,14.741129968526366,0.0,25.0
59598.08192549514,,,lssti,AB,0.0,,-2.171840181640444e-16,2.863284429251109e-16,16.08192549514206,0.0,23.0
59600.505186359514,,,lsstr,AB,0.0,,-2.1245742727286488e-16,1.0881876659437988e-16,18.505186359514482,0.0,24.5
59601.15279157741,26.54599861638769,,lssti,AB,0.0,,5.4630484145479815e-17,2.863284429251109e-16,19.152791577413154,0.0,23.0
